class,proportion,species,run
Unknown repeat,2.622,Cystopteris,1
Unknown repeat,1.093,Cystopteris,2
Unknown repeat,2.889,Cystopteris,3
Unknown repeat,1.877,Dipteris,1
Unknown repeat,2.032,Dipteris,2
Unknown repeat,2.406,Dipteris,3
Unknown repeat,0.254,Plagiogyria,1
Unknown repeat,0.127,Plagiogyria,2
Unknown repeat,0.354,Plagiogyria,3
Unknown repeat,2.962,Polypodium,1
Unknown repeat,2.411,Polypodium,2
Unknown repeat,2.47,Polypodium,3
Unknown repeat,0,Pteridium,1
Unknown repeat,0.616,Pteridium,2
Unknown repeat,0.428,Pteridium,3
Unknown repeat,1.978,Amborella,1
Unknown repeat,2.573,Amborella,2
Unknown repeat,2.771,Amborella,3
Unknown repeat,4.9442,Vitis,1
Unknown repeat,5.0964,Vitis,2
Unknown repeat,4.8686,Vitis,3
Unknown repeat,1.563,Zea,1
Unknown repeat,1.467,Zea,2
Unknown repeat,1.895,Zea,3
Unknown repeat,3.076,Gnetum,1
Unknown repeat,3.017,Gnetum,2
Unknown repeat,2.655,Gnetum,3
Unknown repeat,0.36,Pinus,1
Unknown repeat,0.922,Pinus,2
Unknown repeat,0.689,Pinus,3
Unknown repeat,1.431,Taxus,1
Unknown repeat,1.086,Taxus,2
Unknown repeat,0.857,Taxus,3
